"code","iso","country","WTL.raw.1997","WTL.raw.1998","WTL.raw.1999","WTL.raw.2000","WTL.raw.2001","WTL.raw.2002","WTL.raw.2003","WTL.raw.2004","WTL.raw.2005","WTL.raw.2006","WTL.raw.2007","WTL.raw.2008","WTL.raw.2009","WTL.raw.2010","WTL.raw.2011","WTL.raw.2012","WTL.raw.2013","WTL.raw.2014","WTL.raw.2015","WTL.raw.2016","WTL.raw.2017","WTL.raw.2018","WTL.raw.2019","WTL.raw.2020"
36,"AUS","Australia",0.000927033563243522,0.00107913820102211,0.00147091876715279,0.00123452086963774,0.001039355960644,0.000762574585265555,0.00060902843102024,0.000215942859384075,0,0,0,0,0,0,0,2.91976322082849e-06,5.43352909370437e-06,5.43352909370437e-06,5.78688624367785e-06,5.78688624367785e-06,2.86712302284938e-06,3.53357149973494e-07,9.81050263131642e-05,0.000135042001135686
40,"AUT","Austria",0.00382073820319687,0.00382073820319687,0.00372626954346553,0.00161908341672401,0.000380840155872197,1.25251829845991e-07,9.74700048687147e-05,9.74700048687147e-05,9.74700048687147e-05,0.000288419723309249,0.00277026153163254,0.00658686348770728,0.00725747279750584,0.00725747279750584,0.00706639782723546,0.00468025194100449,0.000766305231890885,9.56959220923221e-05,9.56959220923221e-05,9.56959220923221e-05,0.000571279028924648,0.000571279028924648,0.000571279028924648,0.000571279028924648
31,"AZE","Azerbaijan",0,0,0,0.000472351602043299,0.0037786782206965,0.0037786782206965,0.0037786782206965,0.0037786782206965,0.0033063266186532,0,0,0,0,0,0,0,0,0,0,0.000467045314846687,0.000467045314846687,0.000467045314846687,0.000467045314846687,0.000467045314846687
44,"BHS","Bahamas",0.00272038903967474,0.00319439589960504,0.00565676318986943,0.0100428658622907,0.0129971654190915,0.0120258960165944,0.0121824672187892,0.010193024990819,0.00459694602053172,0.00185032716557509,0.00185032716557509,0.00232367679883188,0.00409860951198996,0.00412561640209296,0.00340648875365048,0.00342724328850948,0.0023301759700631,5.4621801897476e-05,4.15061427334743e-05,4.15061427334743e-05,2.07516078744778e-05,4.22200105116892e-05,4.22200105116892e-05,2.83287795726938e-05
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",0.000643320630551712,0.0010886420377595,0.0022735849852892,0.00400492087690522,0.0034607891818151,0.00336160024635351,0.00291627883914572,0.00173133589161602,0,0,0,0,0,0,0.000643518568781474,0.000693062513236128,0.000890952934261721,0.00197925831637541,0.00197925831637541,0.00168137972819468,0.00163183578374003,0.00148323203732887,0.00212812703299453,0.00212812703299453
52,"BRB","Barbados",0,0,0,0,0,0.0666873396549806,0.0666873396549806,0.0666873396549806,0.0666873396549806,0.0666873396549806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"BLR","Belarus",0.000198028230922929,0.000111030165619101,5.27994209385595e-05,5.27994209385595e-05,0.000206640094914478,0.000633916624078167,0.000633916624078167,0.000687384284690979,0.00136495002799303,0.00230273988745276,0.00241887304557468,0.00434219869034814,0.00495242596778917,0.00434020755981383,0.00319577760543963,0.00265236791815402,0.000896304940038255,0.000582281300002747,0.00054601122057034,0.0014410825515139,0.00247585845679683,0.00230859579013913,0.0019589244921208,0.00236738837221427
56,"BEL","Belgium",0.00395673516295126,0.00306451627659201,0.00267703673872671,0.00176753618653959,0.00164013676805742,0.00419108957418262,0.00584779423272365,0.00546994672493418,0.00535566877889134,0.00585738145367456,0.00215841733332426,0.000501712674783222,0.000501712674783222,0.000501712674783222,0.000129801158183054,0.000129801158183054,0.000129801158183054,0.0021983692667229,0.0021983692667229,0.00477414748294852,0.00884980847827225,0.0101189599599596,0.00971002000089729,0.00983730500282747
84,"BLZ","Belize",0.0437459188323196,0.0443334301203701,0.044480439206617,0.00191218370138397,0.00588426701621207,0.00588426701621207,0.00764594975557421,0.00735078532303714,0.00646952197850501,0.00234919402741264,0.00234919402741264,0.00102709029529987,0.00102709029529987,0.00146930479180415,0.00323533164785519,0.00323533164785519,0.00220824135255532,0.00220824135255532,0.00176602685605104,0,0,0,0,0
204,"BEN","Benin",0.00288386570315182,0.00288386570315182,0.00648866849179635,0.00432575544245717,0.00504671206319748,0.00504671206319748,0.00504671206319748,0.00144190927455294,0.000720956620740314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000720866204728429
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14129032276762e-09
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287788344881884,0.0287788344881884,0.0287789221332486
