"code","iso","country","CDA.raw.1999","CDA.raw.2000","CDA.raw.2001","CDA.raw.2002","CDA.raw.2003","CDA.raw.2004","CDA.raw.2005","CDA.raw.2006","CDA.raw.2007","CDA.raw.2008","CDA.raw.2009","CDA.raw.2010","CDA.raw.2011","CDA.raw.2012","CDA.raw.2013","CDA.raw.2014","CDA.raw.2015","CDA.raw.2016","CDA.raw.2017","CDA.raw.2018","CDA.raw.2019"
504,"MAR","Morocco",0.0390386184074227,0.0352557488345366,0.0363837962432412,0.0360114064784405,0.0345844736120586,0.0408116544161941,0.0466514771883191,0.0505784205530897,0.0532670934437813,0.0544262398086213,0.0511920138901285,0.04830778550536,0.0468390967365355,0.0435950161033174,0.033450182064598,0.028549699002719,0.0250848474691066,0.0206196922854212,0.0198968858751893,0.0209825643581996,0.0233310217930529
508,"MOZ","Mozambique",0.017735058077385,0.0278887110889849,0.0524171188006377,0.0680566589685121,0.0943948732170174,0.114132473987731,0.123745140247191,0.124333279971451,0.122828541384791,0.103791314377418,0.0809706347376,0.0619466226137504,0.0622021547908298,0.0531487035568334,0.0645850535699408,0.109287110632804,0.122344932935379,0.139047074316182,0.150747618998191,0.148394730571493,0.136624700869867
104,"MMR","Myanmar",0.0908075630123164,0.0946953827626102,0.0755735065581618,0.0609955275295277,0.048071785389511,0.0523929882860259,0.0518323999130952,0.0533896543418182,0.0501145733880932,0.0310346426270058,0.0189509197633804,0.0276282671567181,0.0305513074034831,0.0180277508242082,0.0110184849043107,0.0277852136828629,0.0541133624052093,0.0876921876331525,0.111683716839068,0.108276622968688,0.114463295391957
516,"NAM","Namibia",0.0708226146741127,0.0506030475161561,0.041833816251704,0.0239075680095115,0.0168473741505515,0.0176441290788125,0.0264319252824168,0.0351824603322577,0.0430804835054659,0.0682909325072802,0.0746254770718144,0.0724076254788948,0.0702794355938943,0.065121242112375,0.0412158905153486,0.0373586909418691,0.0390009446551156,0.0375118648016874,0.0330501060782606,0.0459619294155451,0.0475377980143472
520,"NRU","Nauru",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0399791573572263,-0.00636745188122987,0.022367241032216,0.0188434026022528,0.0196213689662792,0.021160106896946,0.034297561352044
524,"NPL","Nepal",0.146533357159231,0.118294555608786,0.0994606525701209,0.0681756429434452,0.0450376428924493,0.0155696054249148,0.0116287433580557,-0.0041357448957471,-0.011382990697351,-0.0159368082883562,0.0144533428764815,0.0433557540840197,0.0760494261205067,0.0908507691822886,0.113743379493379,0.1285474030156,0.132080773713761,0.132898849458277,0.128097084348071,0.129563738221947,0.14480285244747
528,"NLD","Netherlands",0.0104266244792024,0.00766507532389649,0.00768221630937393,0.00628614632278968,0.00511868216831401,0.00384304241866018,0.00261558246424398,0.00328587795497515,0.00219173431414332,0.00109878390281182,-0.0029727504432374,-0.00214772160625327,-0.00543092127342304,-0.00897180056715737,-0.0113587489889499,-0.0140508314828797,-0.0153130720971655,-0.016118393547654,-0.0160931716011709,-0.0197902685200158,-0.0239000811399506
540,"NCL","New Caledonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
554,"NZL","New Zealand",0.0397099765315703,0.0394622846080011,0.0388826672691869,0.0348150139502119,0.0305287295529908,0.0243314731638513,0.0158549798132581,0.00784068628556112,0.00383472653522432,-0.00233039800492763,-0.00876538018202725,-0.014238984980298,-0.0146257826850438,-0.0052325833932002,-0.00156376403687406,0.00475865048346114,0.00887744583142958,0.00968498995448375,0.010798054835121,0.0115994663156098,0.0118493583589216
558,"NIC","Nicaragua",0.0677923584272109,0.0696234308443335,0.0647576329063646,0.0645916804615603,0.0598287718442927,0.054102225754709,0.0463564147975486,0.0378591480107922,0.0318441361326451,0.0244216798986958,0.0189469254891894,0.0134544712194979,0.0129515025835203,0.00807199450566376,0.00487777943779899,0.00514554166952785,0.0103761229275419,0.0177079728963931,0.0246022094202119,0.028043401650893,0.035634677951792
