"code","iso","country","EEZ.raw.1990","EEZ.raw.1991","EEZ.raw.1992","EEZ.raw.1993","EEZ.raw.1994","EEZ.raw.1995","EEZ.raw.1996","EEZ.raw.1997","EEZ.raw.1998","EEZ.raw.1999","EEZ.raw.2000","EEZ.raw.2001","EEZ.raw.2002","EEZ.raw.2003","EEZ.raw.2004","EEZ.raw.2005","EEZ.raw.2006","EEZ.raw.2007","EEZ.raw.2008","EEZ.raw.2009","EEZ.raw.2010","EEZ.raw.2011","EEZ.raw.2012","EEZ.raw.2013","EEZ.raw.2014","EEZ.raw.2015","EEZ.raw.2016","EEZ.raw.2017","EEZ.raw.2018","EEZ.raw.2019","EEZ.raw.2020","EEZ.raw.2021","EEZ.raw.2022"
44,"BHS","Bahamas",622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762873,622458.219762873,622458.219762873,622458.219762873,622458.219762873,622458.219762873,622458.219762801,622458.219762934,622458.219762934,622458.219762934,622458.219762934,622458.219762934,622458.219762934,622458.21975936,622458.21975936,622458.21975936,622458.21975936,622458.21975936,622458.21975936,622458.21975936
48,"BHR","Bahrain",7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757159314,7546.21757159314,7546.21757159314,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085
50,"BGD","Bangladesh",112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700809,112793.932700809,112793.932700808,112793.932700808,112793.932700808,112793.932700808,112793.932700808,112793.932700808,112793.932700808,112793.932700808
52,"BRB","Barbados",186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341
112,"BLR","Belarus",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"BEL","Belgium",3487.99333433688,3487.99333433688,3487.99333433688,3487.99333433688,3487.99333433758,3487.99333433758,3487.99333433758,3487.99333433758,3487.99333433371,3487.99333433371,3487.99333433371,3487.99333433371,3487.99333433371,3487.99333433371,3487.99333433371,3487.99333433371,3487.99333434024,3487.99333434024,3487.99333434024,3487.99333434024,3487.99333434024,3487.99333434024,3487.99333434024,3487.99333418218,3487.99333418218,3487.99333418241,3487.99333418241,3487.99333418241,3487.99333418241,3487.99333418241,3487.99333418241,3487.9933341824,3487.9933341824
84,"BLZ","Belize",34500.8911815887,34500.8911815887,34500.8911815887,34500.8911815887,34500.8911815887,34500.8911815887,34500.8911815887,34500.8911816539,34500.8911816539,34500.8911813274,34500.8911813274,34500.8911813729,34500.8911813729,34500.8911813772,34500.8911813771,34500.8911813771,34500.8911813771,34500.8911813771,34500.8911813771,34500.8911813771,34500.8911813771,34500.8911813834,34500.8911813834,34500.891181415,34500.8911813958,34500.8911813958,34500.8911813958,34500.8911813958,34500.8911813958,34500.8911813958,34500.8911813958,34500.8911813958,34500.8911813958
204,"BEN","Benin",35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091
60,"BMU","Bermuda",465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
