"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019"
384,"CIV","Cote d'Ivoire",0.001266324,0.001244839,0.001365075,0.001268015,0.001437696,0.001558164,0.001405687,0.001359872,0.001437903,0.001396035,0.001439752,0.001308743,0.001500014,0.001549228,0.001457594,0.001471281,0.001480522
191,"HRV","Croatia",0.020473613,0.019419104,0.019730209,0.01811315,0.016069296,0.014647675,0.012481454,0.010761838,0.010746945,0.009948055,0.009332424,0.009052179,0.00871614,0.008223034,0.007756414,0.00755262,0.007013308
192,"CUB","Cuba",0.005818156,0.00505338,0.004976269,0.004733367,0.004409343,0.004074391,0.003827305,0.003421601,0.003483417,0.003463912,0.00339535,0.00347365,0.003420328,0.003237323,0.002872897,0.002966465,0.002992802
531,"CUW","Curacao",0.004605259,0.004600682,0.005299267,0.004394591,0.004325363,0.004145249,0.003895625,0.004812734,0.004397442,0.004186608,0.003983356,0.003744008,0.003820356,0.004471179,0.004164512,0.003897028,0.004079406
196,"CYP","Cyprus",0.019862145,0.019171472,0.017317208,0.016683495,0.016821507,0.01594772,0.015059334,0.015436477,0.013576489,0.013440651,0.012338095,0.011848222,0.011845692,0.011622372,0.008779166,0.007973298,0.00778045
203,"CZE","Czech Republic",0.017570995,0.015796946,0.016689772,0.015372687,0.013300111,0.012985948,0.012145338,0.01143084,0.010867938,0.009972739,0.00976431,0.009495226,0.008843038,0.008504245,0.007752691,0.008078722,0.007088383
180,"COD","Dem. Rep. Congo",0.013613977,0.013463766,0.013855146,0.013673473,0.013642322,0.013895722,0.013768398,0.013851583,0.013757031,0.013557669,0.013671192,0.013376967,0.013256929,0.013810149,0.013306183,0.01298361,0.01319593
208,"DNK","Denmark",0.004420973,0.00395657,0.004076568,0.003889265,0.003433857,0.003378415,0.003127177,0.00294515,0.002861924,0.002577332,0.00251436,0.002528455,0.002288121,0.002172445,0.001879192,0.00190593,0.001721827
262,"DJI","Djibouti",0.0019997,0.002122951,0.002160064,0.002072988,0.002153569,0.002311296,0.002171445,0.002377,0.002345904,0.002227201,0.002284256,0.002089579,0.00222609,0.002200758,0.002339174,0.002175241,0.002158072
212,"DMA","Dominica",0.001126705,0.001020554,0.001209518,0.001067726,0.00100254,0.000898984,0.000871985,0.001141362,0.000976969,0.000902707,0.000862077,0.000817911,0.000867428,0.001046657,0.000698897,0.000636667,0.000702849
214,"DOM","Dominican Republic",0.006463003,0.005785837,0.005542872,0.00530657,0.004953382,0.004347129,0.004045992,0.003787166,0.003523399,0.003421046,0.003308072,0.003385472,0.003272752,0.003151615,0.002830627,0.002726873,0.002813874
218,"ECU","Ecuador",0.002295978,0.002143275,0.001964764,0.001887265,0.001825374,0.001756041,0.001692679,0.001574476,0.001566625,0.001557454,0.00154901,0.001513903,0.00155135,0.001503888,0.001449746,0.001423611,0.001420866
