"code","iso","country","NXA.raw.1990","NXA.raw.1991","NXA.raw.1992","NXA.raw.1993","NXA.raw.1994","NXA.raw.1995","NXA.raw.1996","NXA.raw.1997","NXA.raw.1998","NXA.raw.1999","NXA.raw.2000","NXA.raw.2001","NXA.raw.2002","NXA.raw.2003","NXA.raw.2004","NXA.raw.2005","NXA.raw.2006","NXA.raw.2007","NXA.raw.2008","NXA.raw.2009","NXA.raw.2010","NXA.raw.2011","NXA.raw.2012","NXA.raw.2013","NXA.raw.2014","NXA.raw.2015","NXA.raw.2016","NXA.raw.2017","NXA.raw.2018","NXA.raw.2019"
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00779852305404405,0.0139239295213491,0.0225436087573825,0.0268079550293252,0.0305961783276409,0.0307183397694819,0.0295135933231463,0.0285326793647773,0.0297086033035283,0.0190879518138658,0.00752084718254276,0.00583594755017613,-0.00566954629668156,-0.0231572567468278,-0.0405706201784772,-0.0494796264560829,-0.0575957968870905,-0.0552062249776465,-0.0420195037085624,-0.0308264372261308,-0.0125195754335751
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0374686917093141,0.0518374289278321,0.050153260106083,0.0521230473998169,0.0490607074078118,0.0721375339455883,0.0925808766173442,0.100505113204461,0.118554239187727,0.120776599882514,0.118722166466006,0.127157508605251,0.124556320360744,0.111167726208729,0.115966168816171,0.140425520369889,0.154059445141374,0.152071454489461,0.152541458579853,0.138776693259907,0.116010845589158
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110119191732052,0.0519875362033781,-0.023856118904313,-0.0330303724162418,-0.0384818910815542,-0.0343469447884675,-0.0209458672216212,0.00807940613050473,0.0274985374100423,0.0478967609885017,0.0616715198359181,0.0647192344119181,0.0654705370904376,0.0673364066208955,0.0727862230451524,0.0714035979580359,0.0687067613958967,0.0747270046259279
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247042170176841,0.0263038176739796,0.0235889266028286,0.0217357790172863,0.0202049565477842,0.0248143544095201,0.0285886984091321,0.0288562548009661,0.0317131246042006,0.0320932250524377,0.0320578845169548,0.033261988458462,0.031212810551946,0.0306318804145767,0.0305849377480818,0.0317318859843918,0.0307594532902316,0.0255737728042689,0.0232010583839197,0.0186084545082386,0.0181198286362003
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0400251081730031,-0.0563106189761955,-0.067325848931003,-0.0742055921013448,-0.0732760165199822,-0.0713513219629141,-0.0700011949769105,-0.0649839960025168,-0.0622524738461378,-0.0586472017443376,-0.0593089002039874,-0.0517898582602425,-0.0428005119348563,-0.0408441208422965
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0794345424780281,0.0639277102944249,0.0290289467346847,0.0131517175685203,-0.0211332176932342
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0243173723212837,-0.0221583741143174,-0.0111587307550507,-0.00121048579464697,0.0045960212736782,0.00957276244992866,0.00954711634607652,0.00801075999340028,0.0115751879698145,0.00934001000420137,0.00724753119557153,0.0077134860870649,0.0155825582920217,0.0222153957647087,0.0271780274237319,0.0310883173961898,0.0317622426725033,0.0277632975131206,0.0244085226160033,0.0194598504283756,0.0140416586132541
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109065579196557,0.0199529566454626,0.0239124806935032,0.0282420127893208,0.0291892875547477,0.027757720320267,0.0272496263131736,0.027365468425061,0.0322367778744155,0.0348597189916517,0.0352124619456067,0.0336807303801818,0.0335777653293672,0.0320044614281425,0.0304155036730074,0.0288655581904458,0.0256314727011244,0.0215083781449876,0.0199285215169624,0.0182360701053825,0.0159165007101278
152,"CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0692601999636842,0.0587528865250284,0.0390545304256298,0.020604176185206,0.00360462353975666,-0.00637530259445358,-0.0101927114663256,-0.00516989631048895,0.0151554513021626,0.0382604364885022,0.0507535362377631,0.0555246315898255,0.0527898856974476,0.0548958875968737,0.0509754170693881,0.043461945418005,0.0352053383633091,0.0262107368394722,0.0298112714287779,0.0331235058050325,0.0287308814657417
156,"CHN","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0552451328290975,0.0506523237481606,0.0444140482610522,0.0403051210819094,0.0433039496429617,0.0495935457588321,0.0599264468988978,0.0764728997822441,0.0828672659495171,0.082328286447243,0.0738796756981877,0.0653733191785488,0.0552349058062422,0.0423658074781768,0.0287290243588583,0.0145397864231298,0.000538699296218415,-0.016945892556583,-0.0348034375279924,-0.0511383592571848,-0.0651827401900779
