"code","iso","country","PAR.raw.2000","PAR.raw.2005","PAR.raw.2010","PAR.raw.2011","PAR.raw.2012","PAR.raw.2013","PAR.raw.2014","PAR.raw.2015","PAR.raw.2016","PAR.raw.2020"
132,"CPV","Cabo Verde",0.0308385666666667,0.0298841333333333,0.0342807666666667,0.0342807666666667,0.0363134333333333,0.0363134333333333,0.0364072333333333,0.0364072333333333,0.0365306666666667,0.0365306666666667
116,"KHM","Cambodia",0.0962955333333333,0.0637820333333333,0.116195333333333,0.116195333333333,0.116987333333333,0.116987333333333,0.117606,0.117606,0.117318,0.192485
120,"CMR","Cameroon",0.0933541,0.0881417333333333,0.105862433333333,0.105862433333333,0.106749433333333,0.106749433333333,0.1070813,0.1070813,0.107205233333333,0.112879
124,"CAN","Canada",0.0909325666666667,0.0953284666666667,0.1016707,0.1016707,0.104560033333333,0.104560033333333,0.108277666666667,0.108277666666667,0.111017333333333,0.109754
136,"CYM","Cayman Islands",0.118322666666667,0.140038666666667,0.162035666666667,0.162035666666667,0.171722,0.171722,0.18459,0.18459,0.184591333333333,0.184591333333333
140,"CAF","Central African Republic",0.119355666666667,0.0984844,0.124505666666667,0.124505666666667,0.125434666666667,0.125434666666667,0.125639666666667,0.125639666666667,0.125767333333333,0.12493
148,"TCD","Chad",0.0662248333333333,0.0652498333333333,0.0729332333333333,0.0729332333333333,0.0841715,0.0841715,0.0842454,0.0842454,0.08431,0.107802
152,"CHL","Chile",0.08927,0.0990440333333333,0.117595666666667,0.117595666666667,0.119498,0.119498,0.119832666666667,0.119832666666667,0.119835,0.12034
156,"CHN","China",0.0796569666666667,0.081451,0.0850443,0.0850443,0.0868453666666667,0.0868453666666667,0.0872228666666667,0.0872228666666667,0.0870690333333333,0.0365237
170,"COL","Colombia",0.114421,0.132645,0.166032,0.166032,0.175584666666667,0.175584666666667,0.176587333333333,0.176587333333333,0.176589,0.200382
174,"COM","Comoros",0.0616587,0.0629665666666667,0.0686123666666667,0.0686123666666667,0.0697424666666667,0.0697424666666667,0.0698546666666667,0.0698546666666667,0.0699749,0.0699749
184,"COK","Cook Islands",0.0169017333333333,0.0186461,0.0273107,0.0273107,0.0277459333333333,0.0277459333333333,0.0277884,0.0277884,0.0280087666666667,0.0280087666666667
188,"CRI","Costa Rica",0.153953333333333,0.162651,0.183172666666667,0.183172666666667,0.187026666666667,0.187026666666667,0.187556,0.187556,0.187557666666667,0.216844
384,"CIV","Cote d'Ivoire",0.150487333333333,0.1180438,0.155242333333333,0.155242333333333,0.156307333333333,0.156307333333333,0.156499666666667,0.156499666666667,0.156621333333333,0.127919
191,"HRV","Croatia",0.0810056666666667,0.106075066666667,0.119655666666667,0.119655666666667,0.123864333333333,0.123864333333333,0.153863,0.153863,0.15492,0.164262
192,"CUB","Cuba",0.0955759666666667,0.104317866666667,0.1216,0.1216,0.123383333333333,0.123383333333333,0.124202666666667,0.124202666666667,0.124204,0.135513
531,"CUW","Curacao",0.0481938,0.0520592666666667,0.0610078,0.0610078,0.0621987,0.0621987,0.0623300666666667,0.0623300666666667,0.0623313,0.0623313
196,"CYP","Cyprus",0.0464476666666667,0.0549975666666667,0.0661336333333333,0.0661336333333333,0.0701238333333333,0.0701238333333333,0.0703822333333333,0.0703822333333333,0.0713840333333333,0.123932
203,"CZE","Czech Republic",0.127650333333333,0.142430666666667,0.164048,0.164048,0.167001666666667,0.167001666666667,0.168476333333333,0.168476333333333,0.168585666666667,0.177382
180,"COD","Dem. Rep. Congo",0.0997321,0.100079733333333,0.105790066666667,0.105790066666667,0.1069291,0.1069291,0.1077565,0.1077565,0.107882466666667,0.120056
208,"DNK","Denmark",0.104976,0.113417,0.127061,0.127061,0.128242,0.128242,0.128807,0.128807,0.128064,0.135372
262,"DJI","Djibouti",0.0442347666666667,0.0378033,0.0481744333333333,0.0481744333333333,0.0496767666666667,0.0496767666666667,0.0517141,0.0517141,0.0518361333333333,0.046511
212,"DMA","Dominica",0.195818,0.209219666666667,0.236346666666667,0.236346666666667,0.240416,0.240416,0.240713666666667,0.240713666666667,0.240715,0.240715
214,"DOM","Dominican Republic",0.117756666666667,0.124317666666667,0.138952333333333,0.138952333333333,0.140776666666667,0.140776666666667,0.141236666666667,0.141236666666667,0.141238333333333,0.169374
218,"ECU","Ecuador",0.0995251333333333,0.117784533333333,0.15101,0.15101,0.160646666666667,0.160646666666667,0.162973333333333,0.162973333333333,0.162974666666667,0.151117
818,"EGY","Egypt",0.0339351666666667,0.0419584333333333,0.0569042,0.0569042,0.0600003333333333,0.0600003333333333,0.0600992333333333,0.0600992333333333,0.0602118,0.0834778
222,"SLV","El Salvador",0.0591753333333333,0.0738428333333333,0.102098633333333,0.102098633333333,0.107924066666667,0.107924066666667,0.108496233333333,0.108496233333333,0.108498633333333,0.123632
226,"GNQ","Equatorial Guinea",0.106571666666667,0.112852,0.128872666666667,0.128872666666667,0.12974,0.12974,0.130235,0.130235,0.130357,0.119499
232,"ERI","Eritrea",0.0544599,0.0491339333333333,0.0585304333333333,0.0585304333333333,0.0601679333333333,0.0601679333333333,0.0605104666666667,0.0605104666666667,0.0606404,0.0641113
233,"EST","Estonia",0.0889169666666667,0.0990806666666667,0.115630333333333,0.115630333333333,0.116969,0.116969,0.117816333333333,0.117816333333333,0.118054666666667,0.148156
748,"SWZ","Eswatini",0.0882516666666667,0.0998822666666667,0.121012666666667,0.121012666666667,0.123047,0.123047,0.12532,0.12532,0.127794333333333,0.132817
231,"ETH","Ethiopia",0.0970778,0.0824528333333333,0.102137266666667,0.102137266666667,0.103182766666667,0.103182766666667,0.1033536,0.1033536,0.103492933333333,0.114973
