"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019"
40,"AUT","Austria",102397.866060606,96566.6139393939,108113.327878788,109549.301818182,124833.341818182,125420.042424242,133064.675151515,143418.233333334,141136.712727273,137773.517575758,134045.152727273,155093.920606061,152043.502424242,130756.321818182,128759.170909091,116364.067272727,111970.707878788,111132.32969697,105298.334545455,82259.4212121212,77803.9569696969
31,"AZE","Azerbaijan",7791.38443305781,0,0,0,22390.0486666667,49650.8206060607,67692.9136969697,79427.1312121212,83304.8662424243,103656.460666667,94802.1096969697,86863.1547878786,82196.4933939393,80157.5924242425,78395.859030303,78756.3951515151,82639.1481212121,84063.6718787879,78721.3951515152,89163.1539393939,96605.4193939393
44,"BHS","Bahamas",2540.14665454545,2939.63673333333,3079.7635030303,3428.97613333333,3521.41403636364,3617.78211515151,3119.92503636364,2628.94788484849,1826.55404242424,3290.63868484848,1966.1668969697,3636.57305454545,2695.62133333333,2725.60439393939,5348.0908969697,5275.42632727273,4350.46405454545,2936.68045454545,2278.07920187328,2703.90300606061,1823.41866060606
48,"BHR","Bahrain",71085.7261515153,72186.157751515,55565.8122,44840.6481939394,41252.1904606061,39920.3785212121,44536.209169697,46346.4005939394,66882.4625393939,91894.6797878789,106559.079612121,120287.421442424,120129.886133334,118254.143448485,126703.886490909,124003.203781818,121703.615151515,106833.133557576,103615.162957576,87431.213448485,81603.8131696969
50,"BGD","Bangladesh",214921.372727273,221356.403636364,233323.008484849,241585.947878788,243867.314545455,246196.410909091,259478.009090909,276510.335757576,282811.927878788,295085.207272727,306981.515757576,321064.867272727,336257.56969697,348846.693333333,349809.745454545,354331.85030303,367618.183030303,371720.938787879,380585.347878788,398135.245454545,424199.67030303
52,"BRB","Barbados",1371.15398853995,1782.27416363636,2516.9258,2785.57683030303,3359.76316363636,3174.24659393939,3018.18713939394,2683.46974545454,2380.13764848485,2992.15825454545,3260.94424848485,3045.13806666666,3053.52378787879,2707.74736363636,2377.8336060606,1555.83384848485,1233.54220161616,1046.35260337925,340.242969696968,37.6108606060607,344.404393939393
112,"BLR","Belarus",0,0,0,3508.03127272746,36548.0872727275,61175.8521212121,76772.3666666667,101229.959393939,114805.867878788,136450.824242424,140075.655151515,144379.032121212,179335.4,188976.306060606,191124.295151515,192083.755151515,176349.833939394,163416.013939394,148624.727878788,147614.696363636,135377.862424242
56,"BEL","Belgium",203006.374545455,195902.478787879,187111.547878788,162803.567272727,150450.532727273,138073.725454545,121398.36,115460.309090909,101134.565454545,105574.872121212,98428.7387878786,127612.074545455,118822.06,93917.7709090908,99917.17030303,93442.9345454546,101182.518181818,99008.4030303029,95942.0399999997,113846.969090909,111017.825454545
84,"BLZ","Belize",852.667521212121,1029.11182424243,1450.47000606061,1700.03276363636,2078.99873333333,1860.5078,1876.26397575758,1614.66025454545,1646.62508484849,1439.44536969697,1543.94199393939,1578.22512727273,1975.56618787879,1776.68583030303,2164.27014545454,1909.05754545455,2268.42394545455,2275.47666060606,2320.73326060606,2167.96448484849,2438.30745454546
204,"BEN","Benin",16450.1099393939,17298.5779393939,15663.0896969697,16915.0196969697,16802.5901212121,16942.5202424242,17661.0474545455,19509.562,22298.4913333333,22617.8311515151,24122.147030303,27139.2840606061,26892.3616363636,26706.8079393939,27303.1375151515,26781.2495757576,27474.4550909091,30045.1203636364,33126.4162424242,34689.2559393939,35357.4956969697
