"code","iso","country","CDL.raw.2001","CDL.raw.2002","CDL.raw.2003","CDL.raw.2004","CDL.raw.2005","CDL.raw.2006","CDL.raw.2007","CDL.raw.2008","CDL.raw.2009","CDL.raw.2010","CDL.raw.2011","CDL.raw.2012","CDL.raw.2013","CDL.raw.2014","CDL.raw.2015","CDL.raw.2016","CDL.raw.2017"
56,"BEL","Belgium",344.504,816.047,643.119,1688.355,1023.775,2409.04,2049.281,2497.813,1748.928,3761.479,1642.264,1867.053,1035.722,1369.205,1057.698,1497.581,1371.048
84,"BLZ","Belize",4748.758,8167.237,4064.54,2337.609,4768.604,2413.449,6812.255,4780.35,5901.578,5838.357,14554.384,6559.977,9894.741,9275.449,6952.42,12217.516,9861.983
204,"BEN","Benin",7330.93,9583.121,12907.105,1847.234,14068.803,5465.242,23787.91,2572.485,31228.05,1240.5,3470.417,25414.312,17065.413,21258.635,10107.834,14293.706,21741.178
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",136.291,107.028,235.781,451.676,338.308,264.621,217.899,338.565,492.399,1831.13,460.907,371.518,274.676,632.381,413.555,1076.929,1084.172
68,"BOL","Bolivia",80372.851,104188.833,94507.129,116977.212,149250.923,122082.96,109288.375,203647.071,124284.936,256581.318,185432.611,155587.391,100706.225,151716.84,90825.368,271152.835,255834.287
70,"BIH","Bosnia and Herzegovina",558.187,263.887,99.252,1626.586,166.691,156.548,1154.642,601.82,402.026,235.262,257.481,985.311,952.454,554.184,116.724,796.74,430.771
72,"BWA","Botswana",271.346,78.736,57.845,171.867,222.024,102.674,164.511,92.984,142.055,56.418,71.632,122.96,599.445,226.488,9.38,23.838,80.903
76,"BRA","Brazil",1829214.766,2346265.403,2162375.261,2597468.696,2360162.679,1928540.931,1699929.08,1622836.477,1191340.101,1766991.037,1266749.419,1967056.564,1446099.485,2033940.052,1691649.195,3927201.101,3351507.371
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",1040.579,877.502,657.135,963.169,1026.643,832.793,1246.6,995.72,1589.151,756.022,1691.875,1257.436,696.983,1692.495,1434.967,2312.465,596.201
