"code","iso","country","REC.raw.1990","REC.raw.1995","REC.raw.2000","REC.raw.2005","REC.raw.2010","REC.raw.2015","REC.raw.2020"
258,"PYF","French Polynesia","0.6243","0.6257","0.6223","0.6215","0.6194","0.6132","0.6164"
266,"GAB","Gabon","0.7795","0.7790","0.7825","0.7842","0.7830","0.7788","0.7759"
270,"GMB","Gambia","0.9015","0.9052","0.9021","0.8963","0.8881","0.8815","0.8701"
268,"GEO","Georgia","0.8195","0.8795","0.8604","0.8425","0.8294","0.8206","0.8035"
276,"DEU","Germany","0.5091","0.5076","0.5059","0.5055","0.5045","0.5031","0.5023"
288,"GHA","Ghana","0.9126","0.9105","0.9072","0.9011","0.8928","0.8830","0.8666"
300,"GRC","Greece","0.7876","0.7871","0.7834","0.7791","0.7783","0.7771","0.7755"
304,"GRL","Greenland","0.6850","0.6854","0.6805","0.6797","0.6778","0.6740","0.6743"
308,"GRD","Grenada","0.8527","0.8528","0.8503","0.8495","0.8498","0.8486","0.8494"
320,"GTM","Guatemala","0.9123","0.9087","0.9052","0.9039","0.9002","0.8982","0.8960"
831,"GGY","Guernsey","0.7399","0.7399","0.7399","0.7399","0.7399","0.7399","0.7399"
324,"GIN","Guinea","0.8308","0.8321","0.8248","0.8200","0.8191","0.8128","0.7614"
624,"GNB","Guinea-Bissau","0.9097","0.9059","0.9144","0.9117","0.9111","0.9076","0.8990"
328,"GUY","Guyana","0.7631","0.7631","0.7631","0.7631","0.7631","0.7660","0.7695"
332,"HTI","Haiti","0.9145","0.9237","0.9230","0.9278","0.9291","0.9173","0.9091"
336,"VAT","Holy See","0.7468","0.7468","0.7468","0.7468","0.7468","0.7365","0.7365"
340,"HND","Honduras","0.9055","0.9053","0.9047","0.9024","0.9008","0.8986","0.8971"
344,"HKG","Hong Kong","0.6786","0.6732","0.6717","0.6671","0.6636","0.6598","0.6569"
348,"HUN","Hungary","0.7194","0.7256","0.7135","0.7013","0.7011","0.6937","0.6898"
352,"ISL","Iceland","0.4573","0.4586","0.4520","0.4473","0.4494","0.4466","0.4449"
356,"IND","India","0.8965","0.8902","0.8807","0.8667","0.8498","0.8337","0.8221"
360,"IDN","Indonesia","0.8755","0.8679","0.8689","0.8647","0.8596","0.8540","0.8483"
364,"IRN","Iran","0.8865","0.8815","0.8705","0.8556","0.8457","0.8395","0.8320"
368,"IRQ","Iraq","0.8533","0.8865","0.8719","0.8851","0.8773","0.8583","0.8458"
372,"IRL","Ireland","0.5969","0.5912","0.5809","0.5772","0.5789","0.5768","0.5758"
833,"IMN","Isle of Man","0.7319","0.7319","0.7315","0.7316","0.7316","0.7321","0.7314"
376,"ISR","Israel","0.7136","0.7087","0.7051","0.7046","0.7017","0.6993","0.6962"
380,"ITA","Italy","0.6088","0.6066","0.6034","0.6028","0.6046","0.6032","0.6015"
388,"JAM","Jamaica","0.8562","0.8536","0.8551","0.8531","0.8536","0.8514","0.8503"
392,"JPN","Japan","0.8844","0.8845","0.8846","0.8848","0.8848","0.8851","0.8853"
832,"JEY","Jersey","0.7410","0.7410","0.7410","0.7410","0.7410","0.7410","0.7410"
400,"JOR","Jordan","0.8802","0.8774","0.8778","0.8701","0.8643","0.8588","0.8540"
398,"KAZ","Kazakhstan","0.9778","0.9829","0.9813","0.9744","0.9703","0.9666","0.9621"
404,"KEN","Kenya","0.8402","0.8458","0.8467","0.8423","0.8348","0.8157","0.8010"
296,"KIR","Kiribati","0.8615","0.8603","0.8467","0.8470","0.8489","0.8456","0.8460"
