"code","iso","country","BCA.raw.1999","BCA.raw.2000","BCA.raw.2001","BCA.raw.2002","BCA.raw.2003","BCA.raw.2004","BCA.raw.2005","BCA.raw.2006","BCA.raw.2007","BCA.raw.2008","BCA.raw.2009","BCA.raw.2010","BCA.raw.2011","BCA.raw.2012","BCA.raw.2013","BCA.raw.2014","BCA.raw.2015","BCA.raw.2016","BCA.raw.2017","BCA.raw.2018","BCA.raw.2019"
112,"BLR","Belarus",-0.0470049287563318,-0.0643177552987434,-0.0685635636301018,-0.0452407306909656,-0.0207160310523922,-0.0116780704828376,0.00126761927911212,0.0200645925580298,0.0310831067200235,0.0456007196370984,0.0473159695527294,0.0504277125968571,0.0507184603946342,0.0489821088203843,0.040554055776163,0.0247435111453747,0.00567626730330462,-0.00450503083989301,-0.0128329942266216,-0.0131613721730663,-0.0189133741834934
56,"BEL","Belgium",-0.114077176026362,-0.16222322969131,-0.181385316691308,-0.201944144236505,-0.201902983442852,-0.186292269427467,-0.171078368576804,-0.14689089812018,-0.11707389219512,-0.0796620895972281,-0.0561977746759902,-0.0525577980985321,-0.0512578449949008,-0.06012413976578,-0.062828770222338,-0.0720426787316445,-0.0771889300583697,-0.0835500147832811,-0.0988442074226957,-0.103587550386857,-0.112474171890574
84,"BLZ","Belize",0.0358122832585301,0.0386086779300474,0.0420443608291619,0.0332550204075799,0.0246929229625996,0.0192523240870492,0.0122912821341885,0.00378457658911358,0.00190034243387549,-0.007915662699157,0.00139171650034187,0.0112107849081859,0.0166763973187534,0.0180665167236647,0.0194428459189617,0.023237474794775,0.0225552384500121,0.0206667418973443,0.0187187005924527,0.0110717113022607,0.00751583945155221
204,"BEN","Benin",0.0284012439086798,0.00941885507134721,-0.00565641108435547,-0.0211245170153394,-0.0336970743337984,-0.0395938343698879,-0.0392284504372885,-0.0112215522763015,0.0117484875562512,0.0327138572965795,0.0525593052955682,0.0476346033014103,0.0418865110326001,0.036268015822974,0.0352890320139347,0.0332133855997188,0.0299175844152106,0.0314696419421701,0.0350435067206805,0.0371928044217036,0.0401890186520801
60,"BMU","Bermuda",-0.0249228571120151,-0.0166713462798275,-0.0103632634175609,-0.030560840688434,-0.0423637109057126,-0.0105739407438542,-0.0168481759700396,-0.00827521917291375,0.00661787857541607,-0.0104438271212705,-0.00238140047213364,-4.54395853788087e-05,-0.0179495271559979,-0.0210442309892131,-0.0261790872395779,-0.0112302359304475,-0.0143714385604216,-0.013525620630206,-0.00932826151251496,-0.00947603424855806,-0.00631924138877824
64,"BTN","Bhutan",0.0165686980211737,0.0236144051489624,0.0274389240743298,0.0288298819261581,0.0224495015358661,0.0135576875381085,0.00427440560633707,0.00268210853586393,0.00199149732730297,0.00311092429571902,0.0044378126570781,0.00916437455215835,0.0169286253283738,0.023324402163275,0.0242830819519291,0.0222180336447351,0.0225280977294702,0.0212439053262299,0.017796740165213,0.0172687791017112,0.01368617409424
68,"BOL","Bolivia",-0.0268434957208269,-0.0164767835483163,-0.00498146490477036,0.000804632569014752,0.0124820411960218,0.0271341654740211,0.0451899113909751,0.0598837624653559,0.0608078309686344,0.0550468981723549,0.0411337251371846,0.044868862590181,0.0468780654825447,0.0477334952468436,0.0481116546499309,0.0490184200290273,0.0469868688290642,0.0431243382151658,0.0351947833575972,0.024934421597091,0.0111929562388708
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,-0.0140758995686224,0.004059640303125,0.0170850600003405,0.0323487941226628,0.0486537439127972,0.0665383286319567,0.0674985662834371,0.0651945310166684,0.056969210881646,0.0381634654998408,0.0190232832714996,0.00496630909569618,-0.00532734611242764,-0.00808046212371365,-0.016481992962218,-0.0183800027564515,-0.0312985594271376
72,"BWA","Botswana",0.0258473345354049,0.0232396225077494,0.0227568106261016,0.0237658561962135,0.0214647334666465,0.0161378741880471,0.00782214291493366,0.00091650119659703,0.000909123266753964,0.00663720029427517,0.0101452269599278,0.013944292421568,0.0208617582929906,0.0278436153988049,0.0340784342674652,0.0360850594456816,0.0316937037286313,0.0258063934283546,0.025328830930232,0.0241876749768859,0.0206543255350675
76,"BRA","Brazil",-0.0132358875804195,-0.0181323594894728,-0.0162056538664891,-0.0057449251654544,2.7279411771497e-05,0.00724130863978778,0.0133874769564626,0.0193096052822836,0.0254452517839956,0.0311191247392526,0.0326430992497286,0.0308613068180552,0.0263008512774461,0.0220103875889421,0.0155720161993709,0.00949212307096303,0.000630578904517343,-0.00829506195950921,-0.016922613293425,-0.0224552527906639,-0.03194293227478
92,"VGB","British Virgin Islands",0.0350831464413224,0.0300169442690574,0.0242400453707559,0.0148740670969596,0.00623115509438898,0.00724876544499886,0.00773855078424335,0.0134938307234156,0.0271982040388019,0.0300564831126531,0.0415585011941966,0.0475636860091369,0.0374911956310762,0.0358888981194614,0.0346557083934402,0.0340506086699794,0.026802876709954,0.0207498846378829,0.0168133451362289,0.0102648190996388,0.00891643704162748
