"code","iso","country","NDA.raw.1999","NDA.raw.2000","NDA.raw.2001","NDA.raw.2002","NDA.raw.2003","NDA.raw.2004","NDA.raw.2005","NDA.raw.2006","NDA.raw.2007","NDA.raw.2008","NDA.raw.2009","NDA.raw.2010","NDA.raw.2011","NDA.raw.2012","NDA.raw.2013","NDA.raw.2014","NDA.raw.2015","NDA.raw.2016","NDA.raw.2017","NDA.raw.2018","NDA.raw.2019"
48,"BHR","Bahrain",0.031331457389054,0.0282984132578532,0.0227547544962541,0.0264792942470198,0.0338910530012846,0.0409289968537603,0.0470857185475968,0.0536069860229069,0.0519939295711667,0.0523598055059376,0.0438573834925049,0.0361216524051367,0.0269051150535349,0.0210857584079862,0.0203380211965376,0.021347705229158,0.0236047028982307,0.0284984044780991,0.0308018550564195,0.0382417856199293,0.0366605377064613
50,"BGD","Bangladesh",0.0268403858919135,0.0246438013198274,0.0235571455270762,0.0223290699552543,0.0184289435589713,0.0149627978461409,0.0157244668338981,0.0185479107425766,0.0182426945585417,0.0202021282541409,0.022057101926924,0.0232672423829685,0.0259047000362236,0.0263289246392009,0.0234609002556092,0.0208417881944467,0.0187391773083527,0.0151628013895586,0.0127692798212899,0.0149561867990173,0.0133459375269305
52,"BRB","Barbados",0.00830208861241122,0.00990421259285257,0.00918068365009495,-0.000369244881679449,-0.0117616911390581,-0.00791459183879314,-0.0101473153469114,-0.0149967724727595,-0.01722789845312,-0.00716101980584616,-0.000884025554347125,0.00576012412996363,0.0160816048778982,0.0148538358730894,0.0133252304507441,0.0170255084108522,0.0151383103116161,0.0118313112381114,0.000916815220092682,-0.00951216496815746,-0.0139678770308095
112,"BLR","Belarus",-0.0134985451814598,-0.0173993536606727,-0.0157903490311927,-0.017018884425529,-0.0117430810159019,-0.00861046516595685,-0.00206540108482316,0.00360407893988834,0.00763018576289376,0.0127877232730798,0.0166761462062315,0.017946902859157,0.0594877160717948,0.0894887029497826,0.109599783564351,0.118980073436314,0.119244608161397,0.110325560017315,0.0922687009763967,0.0676336523080798,0.0395770720414894
56,"BEL","Belgium",0.0222711715095352,0.0227335537831113,0.0198770711664618,0.0141711538258278,0.0030613226882843,-0.00624866292290116,-0.0154194200884042,-0.0174064901727223,-0.0170679563112328,-0.0139207090215404,-0.0139685360315271,-0.00186132528980033,0.00370710331239765,0.00994459814078885,0.010719333563207,0.00966388399839135,0.00835069357428031,0.00475179553296146,0.00241382511996946,-0.000996091463493969,-0.0190203985948781
84,"BLZ","Belize",-0.00903172732072363,-0.00312680187718846,0.0013091249865298,0.0337844843206687,0.0760249999130795,0.0627875544008403,0.0533039536549469,0.0334170702259635,0.0186934944403301,0.0032757576048581,0.00211615901404461,-0.00789001612714541,-0.00952913166535325,0.00928022620274316,0.0703621827105165,0.0799538173391199,0.091631337531495,0.0898820911594682,0.0802473927205287,0.0555631748392593,0.0475415312338827
204,"BEN","Benin",0.0419972473670596,0.0440320944294788,0.0328315336728382,0.0289976076756104,0.0166746392281916,0.00429458989837639,-0.00132950942141182,-0.00551161710285345,-0.00347077036395108,-0.00408974776145426,-0.00178904390403264,0.00619691021914237,0.00335919949025421,0.00988867660055259,0.0122623096964105,0.0101288764491292,0.0165200315730525,0.0219632900022595,0.0256746120458922,0.0290394074466021,0.0291127853825432
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",0.0399718912472167,0.0392304244899999,0.0328038284909369,0.0238337532339159,0.0125601812529192,0.000362938300112248,0.00324945063855808,0.00584555506276607,0.00850832683102865,0.00796728058972707,0.0118595496439655,0.0114748916307845,0.0081834886705221,0.00614139212104914,0.00336060763319956,0.000521233796227039,0.00138288612946647,0.000639029618767717,0.00223712049022562,0.00178925581394274,0.00198714790612931
68,"BOL","Bolivia",0.0224284438142026,0.0206758590750702,0.0182502447846011,0.02265447222494,0.023070696711597,0.0295749206743552,0.038241408946347,0.0376525964541123,0.0349466772277625,0.032749552158333,0.0307805684194278,0.0358958787854158,0.0284708571484518,0.0264378404742087,0.0186503488169256,0.0131390665434239,0.0147886999843696,0.0156465916255424,0.0131631228632199,0.00855802086196156,0.00728084300571075
