"code","iso","country","CHA.raw.1999","CHA.raw.2000","CHA.raw.2001","CHA.raw.2002","CHA.raw.2003","CHA.raw.2004","CHA.raw.2005","CHA.raw.2006","CHA.raw.2007","CHA.raw.2008","CHA.raw.2009","CHA.raw.2010","CHA.raw.2011","CHA.raw.2012","CHA.raw.2013","CHA.raw.2014","CHA.raw.2015","CHA.raw.2016","CHA.raw.2017","CHA.raw.2018","CHA.raw.2019"
36,"AUS","Australia",-0.00269459822783984,0.00706861070246001,0.0185313893221923,0.0251891715840915,0.0141577924033027,0.0122650316857553,0.0018885931770698,-0.00389289092105447,-0.0139682967394421,-0.038838481068809,-0.0430750676313418,-0.0465065584236248,-0.00460859493233948,0.0180428489558355,0.00514063577514046,0.00604924149935893,-0.00129920485065173,-0.0102439668155662,-0.00596398474861607,-0.012385396483751,-0.0336309185029481
40,"AUT","Austria",-0.0420329096507388,-0.0413583002597626,-0.0372629907652812,-0.0311091383768272,-0.0180241604600019,-0.0165041011403696,-0.0173354289868731,-0.0181439189244581,-0.0206934011594204,-0.0239666994015546,-0.0262172889041497,-0.0254556722814426,-0.0248250444225235,-0.0238515915125724,-0.0127722483027297,-0.0100321164918761,-0.0110688796273794,-0.0106599313746394,-0.011142850960607,-0.0139532057085661,-0.0204751460760949
31,"AZE","Azerbaijan",-0.00103418748176772,-0.000526811886155776,0.00680261371946655,0.0159062278336739,0.0217181982647028,0.0239367312545977,0.0290044031870647,0.0340924132068974,0.0516492645858542,0.0702740545859137,0.0816101434922438,0.0872479540745923,0.0853479470070628,0.0769363655998625,0.0640718874146893,0.0460945161365869,0.0277588339220065,0.00799382223422795,0.00236696711612971,0.00445471172299827,0.00843796556623877
44,"BHS","Bahamas",0.0192059011344714,0.0200708731232775,0.0200149839661836,0.0195257066233376,0.0173272463830405,0.018325014010701,0.0176099689012188,0.017164928574708,0.0170106575259934,0.018074879758238,0.017898039841008,0.0163498654599346,0.0163105449998351,0.015141269820041,0.0136762023249164,0.0141576441339129,0.0129634267233614,0.0117584601751564,0.0117182735576284,0.0115770369836405,0.0106799469834884
48,"BHR","Bahrain",0.0198733963909834,0.008236749570119,0.00388366450502087,0.00175676701649463,-0.000651088425626802,-0.00399194376193981,-0.00501764814673959,-0.00357286047185899,-0.0117536050446807,-0.00839140769149955,0.00190301159529271,0.00842979915975528,0.0165745136734878,0.0266279795050945,0.0370294286597448,0.0441306023887391,0.0469185659146341,0.0437601276828097,0.0368950143703388,0.034054775825737,0.0339583739024056
50,"BGD","Bangladesh",0.00991414402758095,0.0111529869065738,0.0116075484282305,0.0126786791889637,0.0131893632189533,0.0132885176106701,0.014157272941038,0.0147144303684781,0.0148818660293017,0.0153839171909678,0.0168952216301577,0.0181964578115057,0.0186848288146264,0.018991015874501,0.0187567232263268,0.017129781842852,0.015616230969876,0.0137004114793893,0.012412546567363,0.0123055365086038,0.0122902946502272
52,"BRB","Barbados",-0.000653399055740152,0.00334095449005489,0.00210444665081688,-0.000605926055566259,-0.00437169403182932,-0.0101943362880306,-0.0172498683807128,-0.0273091825685605,-0.0397215086123249,-0.0434624543075394,-0.0424247398359395,-0.0327403151159207,-0.0238176471266208,-0.0174514820778572,-0.0107067366221099,-0.00378711950797518,-0.00182168169269695,-0.00234613870106728,-0.00311755631469051,-0.00308217062565378,-0.00495244382395621
112,"BLR","Belarus",-0.0188201676463743,-0.0286965524174307,-0.0376840722778117,-0.0430131024818972,-0.0390412282477072,-0.0281885278047051,-0.0252091084607712,-0.0201704100597788,-0.0167259062760693,-0.0043649742863118,0.00410047632987176,0.00948364250462164,0.0128647142927738,0.0151271551202188,0.0171224669148353,0.0196321577458376,0.0185987697841645,0.0158061397934941,0.0111215418435251,0.00850211316334226,0.00634129656373839
56,"BEL","Belgium",-0.003730548016707,-0.00265913712893964,-0.00286442097634282,-0.0047973749372237,-0.0054864308076876,-0.000665086692687501,0.00239326518793037,0.00265771021408767,0.00227596519359197,0.000575967915280584,0.000460256524989155,0.000831818013948382,0.000135761601819828,-0.00362021998953326,-0.00676902569926959,-0.00459915382047097,-0.00265665967941318,-0.00259852541533181,-0.00360402456168224,-0.0049576546442582,-0.0054910777287994
84,"BLZ","Belize",0.0118985691971445,0.0246704398035857,0.0370487857641211,0.0451225403382198,0.0502140777005675,0.0524027452129576,0.0474531713961572,0.0355213669484213,0.0277645374210107,0.02101458673441,0.0187259078398601,0.0204953781891437,0.03078280488291,0.0276993316378602,0.0289893783750841,0.0210468998421676,0.0163754910455167,0.0111216851674638,0.0104170293507733,0.0112191656285467,0.0129583653996193
204,"BEN","Benin",0.0291428582709812,0.0306731601599757,0.0254681106175512,0.0232253286743986,0.0193132069109523,0.0167270589653006,0.0148155562061731,0.0148041547408202,0.0160390606887135,0.0172924878817677,0.0186071549793971,0.0262658476329956,0.0275790876691409,0.0308086586740979,0.0341515049506074,0.0334119423656392,0.0351021178681508,0.0348784337525516,0.0339226147422986,0.0301540689234627,0.026571590829465
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",0.0320324345601737,0.0316492214748298,0.0274592383029559,0.0208916220444817,0.0112653634256976,-0.000157092588987334,0.00362787419599697,0.00777024416805849,0.0114626752672118,0.00982300310246798,0.0126274434176106,0.0133419845033811,0.0104221295187252,0.0071206618921853,0.00297360493824583,-0.00502846704964833,-0.00771247951173494,-0.00883752979572507,-0.00513197182695727,-0.0122651265254626,-0.0119112002372494
68,"BOL","Bolivia",-0.031871882153641,-0.0367972595273808,-0.0408890875177489,-0.0253655913227756,-0.00855303516623016,0.0110727107881929,0.0175403026027821,0.0193827870188481,0.028146803817888,0.029126069308397,0.0284227178110217,0.0309243691705761,0.026329831128399,0.0257787698944447,0.0250290516946032,0.0254088921794395,0.0268960220571337,0.0263306257451363,0.0228405288579725,0.0186116724924297,0.0154244154676546
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,0.0500578888172458,0.0536838112303872,0.0468381623219325,0.0311563700578501,0.0277985634468447,0.0289400515749261,0.0281050803688088,0.0254789946427119,0.022600469572883,0.0139654389937929,0.00876176404431828,0.0131287487154506,0.0175464410395194,0.025926105375055,0.0296078890468874,0.0362014379142317,0.0367345134050157
72,"BWA","Botswana",0.0122831265478687,0.012604684810831,0.0180445451102946,0.0190589983986023,-0.0211647330313471,-0.0689037107578848,-0.091670925179203,-0.0779157479643452,-0.0775051733725442,-0.0123955400041114,-0.015919791349898,0.0300961526406587,0.0931758317121718,0.110886851925716,0.0736428697238605,0.0203155480408215,-0.0283662131665909,-0.0878110993648308,-0.128743020110164,-0.122011860938866,-0.211512453137889
