"code","iso","country","BHV.raw.2020"
583,"FSM","Micronesia",0.37269
498,"MDA","Moldova",0.26593
492,"MCO","Monaco",-8888
496,"MNG","Mongolia",0.524691
499,"MNE","Montenegro",0.420786
504,"MAR","Morocco",0.465306
508,"MOZ","Mozambique",0.537104
104,"MMR","Myanmar",0.410611
516,"NAM","Namibia",0.574169
520,"NRU","Nauru",0.560219
524,"NPL","Nepal",0.372746
528,"NLD","Netherlands",0.301665
540,"NCL","New Caledonia",0.540521
554,"NZL","New Zealand",0.375751
558,"NIC","Nicaragua",0.454424
562,"NER","Niger",0.564306
566,"NGA","Nigeria",0.32955
570,"NIU","Niue",0.601544
408,"PRK","North Korea",0.476676
807,"MKD","North Macedonia",0.383264
578,"NOR","Norway",0.703855
512,"OMN","Oman",0.631885
586,"PAK","Pakistan",0.396998
585,"PLW","Palau",0.794202
591,"PAN","Panama",0.433353
598,"PNG","Papua New Guinea",0.672284
600,"PRY","Paraguay",0.51492
604,"PER","Peru",0.599373
608,"PHL","Philippines",0.358426
616,"POL","Poland",0.37031
620,"PRT","Portugal",0.34955
634,"QAT","Qatar",0.610877
178,"COG","Republic of Congo",0.674812
642,"ROU","Romania",0.319103
643,"RUS","Russia",0.696142
646,"RWA","Rwanda",0.34079
652,"BLM","Saint Barthelemy",-8888
659,"KNA","Saint Kitts and Nevis",0.522818
662,"LCA","Saint Lucia",0.511211
670,"VCT","Saint Vincent and the Grenadines",0.294588
882,"WSM","Samoa",0.657632
674,"SMR","San Marino",0.235848
678,"STP","Sao Tome and Principe",0.481932
682,"SAU","Saudi Arabia",0.579919
686,"SEN","Senegal",0.322356
688,"SRB","Serbia",0.307357
690,"SYC","Seychelles",0.44315
694,"SLE","Sierra Leone",0.374743
702,"SGP","Singapore",0.780783
534,"SXM","Sint Maarten",0.584266
703,"SVK","Slovakia",0.356447
705,"SVN","Slovenia",0.415003
90,"SLB","Solomon Islands",0.655371
706,"SOM","Somalia",0.447718
