code,iso,,country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
222,SLV,Keep,El Salvador,0.004354622,-0.002547329,-0.001333723,-0.001394644,-0.001017411,0.000356893,-0.000417234,-0.001911665,0.000845574,-0.001817561,-0.00435497,-0.010990595,-0.016397002,-0.019822061,-0.025267578,-0.028276933,-0.027853073,-0.026836144,-0.027214824,-0.024256307,-0.017297228
226,GNQ,Keep,Equatorial Guinea,0.129403733,0.011327562,-0.11263648,-0.181379347,-0.196706854,-0.178801036,-0.149393996,-0.127213357,-0.128020239,-0.120753908,-0.113347487,-0.093139748,-0.073199922,-0.067544625,-0.054010968,-0.044602258,-0.032611236,-0.017665927,-0.01022218,0.003286768,0.011610694
232,ERI,Keep,Eritrea,NA,NA,-0.021584109,-0.003033249,0.006878162,0.008021388,0.00817679,0.005560417,0.004751724,0.010257123,0.009821059,0.01252492,-0.002590458,-0.017685922,-0.019330689,-0.033473695,-0.031179643,-0.033717208,-0.025683197,-0.010994305,-0.000438114
233,EST,Keep,Estonia,NA,NA,NA,NA,NA,-0.067630283,-0.064240072,-0.060331081,-0.054469526,-0.04897384,-0.039730607,-0.024251936,-0.010810828,-0.004774965,0.00880583,0.017412183,0.015031468,0.004300696,-0.007412234,-0.01730223,-0.037655032
748,SWZ,Keep,Eswatini,-0.018646351,-0.017060912,-0.01765888,-0.01809903,-0.027984647,-0.027735617,-0.02911934,-0.039606602,-0.041464634,-0.042981542,-0.04120546,-0.042904349,-0.04589226,-0.043606404,-0.035182306,-0.03740935,-0.037702016,-0.035776938,-0.034434586,-0.031189536,-0.030795329
231,ETH,Keep,Ethiopia,-0.020017657,-0.026762459,-0.028112879,-0.013740463,-0.00857975,-0.008442636,-0.013248496,-0.022670003,-0.03073863,-0.032626977,-0.035882566,-0.044368284,-0.056072592,-0.059022117,-0.058217797,-0.0589261,-0.061519702,-0.063068668,-0.062137648,-0.060801475,-0.058913097
242,FJI,Keep,Fiji,-0.012288337,-0.013080683,-0.009939391,-0.013113478,-0.011497645,-0.005409645,-0.004788628,-0.002793261,-0.000181836,-0.005207457,-0.016564761,-0.016197467,-0.013426649,-0.01743596,-0.014473953,-0.01351302,-0.008047171,-0.004005049,-0.003169357,-0.008835553,-0.002814603
246,FIN,Keep,Finland,-0.017470233,-0.031978285,-0.036637451,-0.039773355,-0.033951338,-0.023822803,-0.026472403,-0.016508014,-0.014177507,-0.018620447,-0.020533776,-0.021543884,-0.024877764,-0.027085341,-0.022288903,-0.014983397,-0.019757461,-0.017859533,-0.023459219,-0.030141173,-0.036214854
250,FRA,Keep,France,-0.021573803,-0.024506624,-0.022839468,-0.022969902,-0.020695471,-0.021783149,-0.02185689,-0.019854716,-0.020567789,-0.019262829,-0.018849834,-0.019672572,-0.021458624,-0.022065356,-0.020658786,-0.022039246,-0.021295603,-0.021397593,-0.021751815,-0.02309677,-0.024214714
266,GAB,Keep,Gabon,0.009624225,0.018244312,0.018785093,0.021274932,0.025221067,0.018632766,0.009053472,-0.002156869,-0.030352708,-0.04195223,-0.049877838,-0.054099255,-0.05720956,-0.059586782,-0.053783971,-0.046871842,-0.039199381,-0.03425396,-0.043225088,-0.043587216,-0.045935824
270,GMB,Keep,Gambia,-0.010428705,-0.011543714,-0.016470816,-0.020203845,-0.023589549,-0.022863683,-0.01604587,-0.004258385,0.001458362,0.009587983,0.019422211,0.028193541,0.024998864,0.020550752,0.014751757,0.011815033,0.011762969,0.009394931,0.002608365,-0.008266917,-0.011204746
268,GEO,Keep,Georgia,0.015904554,-0.030066224,-0.073101118,-0.066195109,-0.049688498,-0.036695698,-0.043989081,-0.040907501,-0.041820901,-0.044852252,-0.03998769,-0.031286902,-0.024897183,-0.019980127,-0.017373209,-0.011762396,-0.005561329,0.001335632,0.001590158,-0.012850361,-0.019739675
276,DEU,Keep,Germany,-0.033886115,-0.028964574,-0.026884389,-0.02732413,-0.025749644,-0.024576072,-0.023599739,-0.020141788,-0.020294364,-0.020817511,-0.022797073,-0.022950216,-0.024933998,-0.025423299,-0.022486379,-0.021686986,-0.020148502,-0.018478271,-0.020107072,-0.022714284,-0.027353229
288,GHA,Keep,Ghana,-0.011155799,-0.010601388,-0.011954814,-0.016750646,-0.020677104,-0.026720479,-0.030791812,-0.029809308,-0.027806494,-0.029086809,-0.037119048,-0.037356872,-0.035109528,-0.03135028,-0.026879737,-0.02559769,-0.019269551,-0.009738535,-0.004720305,-0.002006887,-0.009097354
300,GRC,Keep,Greece,-0.005557107,-0.006572732,-0.011297576,-0.015139299,-0.019193849,-0.022965186,-0.024323542,-0.028357772,-0.031630217,-0.031445921,-0.029762925,-0.026446388,-0.01934871,-0.007646528,-0.002257954,0.000277294,0.002772324,-0.000511614,-0.003297938,-0.00842588,-0.01174853
308,GRD,Keep,Grenada,0.023228384,0.011671236,0.001688885,-0.005737982,-0.013562663,-0.016037644,-0.020087217,-0.01767657,-0.013918372,-0.010927396,-0.002668668,0.003209335,0.008900553,0.018748068,0.028740604,0.018505921,0.004508218,-0.004396306,-0.015038904,-0.023335124,-0.025371038
320,GTM,Keep,Guatemala,-0.001133573,-0.000381105,-0.000114206,0.002884781,0.001973314,0.003783004,0.006115306,0.002900349,-0.00135005,-0.007728392,-0.010117443,-0.011172755,-0.011664708,-0.010990935,-0.010516603,-0.008478499,-0.001987104,0.003814714,0.007775141,0.003249681,0.002716351
324,GIN,Keep,Guinea,-0.01520069,-0.012787255,-0.0073745,-0.002395427,0.001571974,0.005163102,0.014269839,0.018760495,0.014035714,0.010226927,0.007643395,0.009546004,0.011353619,0.013039268,0.011338255,0.00657733,0.004002234,0.002288364,-0.006942192,-0.018520204,-0.02631895
624,GNB,Keep,Guinea-Bissau,-0.0008753,0.008902048,0.021480999,0.034060764,0.044245119,0.047909342,0.044285855,0.031539881,0.008908652,-0.000509705,-0.004621553,-0.012742723,-0.017715149,-0.014099762,-0.010464601,-0.009366518,-0.011482265,-0.012425927,-0.014339033,-0.015604098,-0.0162071
328,GUY,Keep,Guyana,-0.003414789,-0.006149746,-0.00610105,-0.01147854,-0.012284214,-0.01144479,-0.011713274,-0.01797636,-0.021100573,-0.021851728,-0.019061787,-0.019872064,-0.020917572,-0.024532171,-0.020294702,-0.012218079,-0.006777038,-0.008526373,-0.009797111,-0.008899829,-0.006450378
332,HTI,Keep,Haiti,0.033070314,0.024996907,0.017755755,0.015072317,0.009018106,0.009997956,0.021220143,0.02918608,0.035053447,0.035409699,0.029097213,0.023876052,0.017128997,0.011243683,0.000668738,-0.008379888,-0.005684996,-0.00227773,8.58670935881545e-05,0.00172378,0.003815394
340,HND,Keep,Honduras,-0.007941193,-0.009003404,-0.004699294,-0.001879907,0.000483154,0.004336684,0.007685017,0.003414604,0.001593166,-0.00118489,-0.004774903,-0.010620136,-0.012670179,-0.015583366,-0.011977033,-0.009292268,-0.00475822,-0.008724104,-0.009818963,-0.012545107,-0.011077444
344,HKG,Keep,Hong Kong,-0.007173355,-0.002448353,-0.001714498,0.005707398,0.016735463,0.011537905,0.004137597,-0.015738177,-0.036485112,-0.040657543,-0.036676467,-0.040707535,-0.043166901,-0.0418108,-0.033043129,-0.02703806,-0.02362723,-0.022818055,-0.023545494,-0.024542058,-0.023707665
348,HUN,Keep,Hungary,NA,-0.028803747,-0.030708148,-0.035044265,-0.035446887,-0.039078773,-0.041733623,-0.040565348,-0.037777647,-0.036833221,-0.035544293,-0.03383301,-0.03227936,-0.03028319,-0.02907246,-0.030343005,-0.02949033,-0.028744085,-0.026551079,-0.025665738,-0.026912993
352,ISL,Keep,Iceland,NA,NA,NA,NA,NA,-0.018753942,-0.021457143,-0.020083113,-0.022010706,-0.019066901,-0.014366518,-0.008795323,-0.005694927,0.000705429,0.004099,0.003852635,-0.000280533,-0.008323616,-0.01912304,-0.025860858,-0.032268892
356,IND,Keep,India,-0.025090905,-0.028792307,-0.030334814,-0.031488669,-0.032710698,-0.033704022,-0.03495715,-0.035874315,-0.034811617,-0.030769292,-0.027018134,-0.025169536,-0.022689234,-0.019315182,-0.019144037,-0.018573901,-0.020469759,-0.025239424,-0.030479219,-0.031998499,-0.032017005
360,IDN,Keep,Indonesia,-0.010874565,-0.008379577,-0.00342254,0.001882145,0.005249516,0.005763768,0.000171089,-0.006452246,-0.012642791,-0.016815535,-0.016223101,-0.01870741,-0.015451026,-0.012029417,-0.018471704,-0.023536732,-0.025283018,-0.025047748,-0.026553898,-0.025010132,-0.020346004
364,IRN,Keep,Iran,0.018391344,0.020323982,0.020619962,0.015611452,0.009100059,0.009237636,0.008841719,0.007054458,-0.000731,-0.006110527,-0.00284781,-0.003030154,-0.002086866,0.000874401,0.002921745,0.005651002,0.009887252,0.009946846,0.007262947,0.011481475,0.019435356
